Date,Beer_consumption
2015-10-20,29.08936370364588
2015-10-21,27.743208304449567
2015-10-22,21.629909088254053
2015-10-23,24.375313533676263
2015-10-24,21.476607916602873
2015-10-25,20.32642834943134
2015-10-26,23.596191865720243
2015-10-27,25.382014846988056
2015-10-28,22.878883354019493
2015-10-29,23.566415058783235
2015-10-30,27.884038499354872
2015-10-31,26.44220386957663
2015-11-01,21.117217894847997
2015-11-02,23.008090793850798
2015-11-03,24.08968527903548
2015-11-04,24.20354434711112
2015-11-05,21.489666597646433
2015-11-06,23.231234615680037
2015-11-07,21.094754108736964
2015-11-08,23.148649036997142
2015-11-09,26.461759548384677
2015-11-10,26.625503929712238
2015-11-11,28.17960691303579
2015-11-12,27.664624733200156
2015-11-13,26.98356595077305
2015-11-14,26.56680946060125
2015-11-15,26.134456597929614
2015-11-16,24.44846718731013
2015-11-17,25.598123797045787
2015-11-18,25.85312087380541
2015-11-19,28.07674359882332
2015-11-20,25.633157313251402
2015-11-21,22.809221907932482
2015-11-22,25.60387569131207
2015-11-23,22.97602341487496
2015-11-24,22.377203297259385
2015-11-25,23.4749986033641
2015-11-26,25.129358688547057
2015-11-27,26.017567716572444
2015-11-28,26.784390288822784
2015-11-29,23.901621662313033
2015-11-30,21.31555023862464
2015-12-01,23.749605305203133
2015-12-02,25.843245933382136
2015-12-03,25.240940323672547
2015-12-04,27.05901152984832
2015-12-05,27.93436168546198
2015-12-06,26.41556878669882
2015-12-07,20.91149845848038
2015-12-08,25.281287196423662
2015-12-09,25.908081183096776
2015-12-10,26.57876658065844
2015-12-11,28.113545211929477
2015-12-12,27.919937011411065
2015-12-13,27.03251900658433
2015-12-14,29.354096255806027
2015-12-15,28.405736717116888
2015-12-16,24.17384161086582
2015-12-17,26.266094482265473
2015-12-18,29.8424810786912
2015-12-19,27.837959746076017
2015-12-20,26.011177614989748
2015-12-21,25.30121889384155
2015-12-22,25.355319214945155
2015-12-23,28.799538352889392
2015-12-24,27.777817624698088
2015-12-25,25.346400328681952
2015-12-26,20.98556701608564
2015-12-27,25.866939638705063
2015-12-28,26.07620160124823
2015-12-29,23.29667193015139
2015-12-30,22.440257632784068
2015-12-31,26.901256693641038
