Date,Beer_consumption
2015-10-20,31.947459999999978
2015-10-21,28.57752
2015-10-22,22.10885000000001
2015-10-23,24.248430000000003
2015-10-24,25.06745000000003
2015-10-25,24.06693000000001
2015-10-26,23.762149999999988
2015-10-27,26.39789999999999
2015-10-28,21.919710000000006
2015-10-29,22.223090000000006
2015-10-30,28.354749999999985
2015-10-31,33.08875000000003
2015-11-01,25.742560000000026
2015-11-02,23.396630000000002
2015-11-03,23.661400000000008
2015-11-04,25.70622000000001
2015-11-05,22.44543000000001
2015-11-06,22.956109999999995
2015-11-07,24.858940000000015
2015-11-08,26.271600000000024
2015-11-09,25.796299999999988
2015-11-10,29.13181000000001
2015-11-11,30.29789999999999
2015-11-12,28.764709999999994
2015-11-13,26.26780999999999
2015-11-14,32.48725000000003
2015-11-15,32.89139000000004
2015-11-16,22.204250000000005
2015-11-17,26.409339999999997
2015-11-18,25.52612999999998
2015-11-19,26.46235999999998
2015-11-20,24.31466
2015-11-21,26.251750000000026
2015-11-22,31.98889000000003
2015-11-23,22.16702000000001
2015-11-24,22.189070000000005
2015-11-25,22.253500000000003
2015-11-26,25.700499999999998
2015-11-27,25.860079999999986
2015-11-28,33.28818000000004
2015-11-29,29.351890000000015
2015-11-30,21.392360000000018
2015-12-01,22.511360000000003
2015-12-02,26.710989999999992
2015-12-03,23.819399999999987
2015-12-04,25.747099999999985
2015-12-05,32.32002000000003
2015-12-06,31.64853000000003
2015-12-07,20.50627
2015-12-08,25.306530000000002
2015-12-09,25.451689999999974
2015-12-10,25.36212999999999
2015-12-11,26.147499999999987
2015-12-12,32.04236000000004
2015-12-13,31.642390000000013
2015-12-14,28.06668999999999
2015-12-15,28.288529999999987
2015-12-16,23.361270000000005
2015-12-17,25.488919999999975
2015-12-18,29.663319999999985
2015-12-19,32.165290000000034
2015-12-20,31.642440000000015
2015-12-21,23.930259999999997
2015-12-22,28.44068000000001
2015-12-23,29.489399999999986
2015-12-24,28.46146999999999
2015-12-25,27.541790000000002
2015-12-26,31.363990000000005
2015-12-27,30.65427
2015-12-28,24.43608999999999
2015-12-29,22.98248
2015-12-30,21.84394000000001
2015-12-31,25.428529999999974
